export-0x7a250d5630b4cf539739df2c5dacb4c659f2488d
Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1897.39/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method,
0xb6914a2e5690e57117e9636c17b5af66a757827f0c684a158ade5b8bfd8d964e,16308210,1672531451,2023-01-01 00:04:11,0x087d03894f1fabf7fed2cdc3354ba8c9c0bc7350,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.002110637321238960,4.0047021469456,1200.10,Error(0),execution reverted,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,
0x11e105022aaf8dfbdefa92acaad943a9336b7ae3dae67be3830e3dbe081ea452,16308210,1672531451,2023-01-01 00:04:11,0x1f8c7d28815f8aba1a37a325ed89d1e6ff4034f8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.002238469810133330,4.24725023304887,1200.10,,,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,
0xc49f73e5d649c5d10a0306c6d61a9f1d4f4081d6008c10f98f66a697d3ae72f1,16308210,1672531451,2023-01-01 00:04:11,0x2c889b74408129f81ecf161185fac34228909b41,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.00322714384970028,6.12315046898282,1200.10,,,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,
0x30ecac8952c3311a6c7f923fe981783948080a22122c9eb3ccc5d2b27671124d,16308212,1672531475,2023-01-01 00:04:35,0x83e9df4df01f14c72b8d200b1c9e193306e1a7ca,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.100099645204132000,0,189.928065813868,0.00237300525,4.5025164312975,1200.10,,,Swap ETH For Exact Tokens,
0x9b08f61dcd3c6388e040a2c4e9e77f6c39c627da3e10c05ac6cd845c18932ff3,16308212,1672531475,2023-01-01 00:04:35,0x914ec51e16483c6a0f6ffb8fc3da35cea241cacc,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.05,0,94.8695,0.002060501912839360,3.90957572440227,1200.10,,,Swap Exact ETH For Tokens,
0xe8419b93e6e780bcc5727f6a13dbfb307c25ef9fb34d762418f27abf65f6b007,16308214,1672531499,2023-01-01 00:04:59,0x6dbf0e0dde9216ebe402051558df91805df964ab,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.277230443897642000,0,526.014271946948,0.001527265587885170,2.89781845379745,1200.10,,,Swap Exact ETH For Tokens,
0xd0e64c38092528599e43063fde6577a7072b08d077c74f5c1d8cd4c859624ca0,16308217,1672531535,2023-01-01 00:05:35,0x598a1b4444675a3fd1781570a9b9a53f0fa0c53d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.000231296339859866,0,0.438859362286711,0.003591646710462120,6.81475455196373,1200.10,,,Swap ETH For Exact Tokens,
0x7b73d2b60007d2b05de9ed5dcdc641c6ecf29c334a1c1cf093e84831f470ff40,16308217,1672531535,2023-01-01 00:05:35,0x30b22661b027ab643adde988906cf7b64e4b3af3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0,0,0,0.00353009079653523,6.69795897643798,1200.10,,,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,
0x6645cdba57fe70397cf939db1cbe5f52ab08e00c6755216dac028cb01bdc95bd,16308217,1672531535,2023-01-01 00:05:35,0x1f9df7aa88e1d9f03f014ddaae42c169ce375d46,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.2,0,379.478,0.002683489226297350,5.09162562308433,1200.10,,,Swap Exact ETH For Tokens,
0x84e3252ac132b59d11b384fadb8b4ece650e58276f95481bf2c49463bbe1f443,16308218,1672531547,2023-01-01 00:05:47,0x7dc6736f27bd02531e4292a279d34b6a26fc8edc,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,0.000265271174804831,0,0.503322874362938,0.003436310578009630,6.52002132760969,1200.10,,,Swap ETH For Exact Tokens,
